Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Amber Liu,1/17/2024, The Crocodile,Music,Downtown,47.6146474,-122.3490734,"[{'number': 1, 'name': 'Tonight', 'startTime': '2024-01-16T19:00:00-08:00', 'endTime': '2024-01-17T06:00:00-08:00', 'isDaytime': False, 'temperature': 32, 'temperatureUnit': 'F', 'temperatureTrend': 'rising', 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 93}, 'windSpeed': '2 to 6 mph', 'windDirection': 'ESE', 'icon': 'https://api.weather.gov/icons/land/night/rain_fzra,100/rain_fzra,80?size=medium', 'shortForecast': 'Freezing Rain', 'detailedForecast': 'Rain likely before 8pm, then freezing rain and rain. Cloudy. Low around 32, with temperatures rising to around 36 overnight. East southeast wind 2 to 6 mph. Chance of precipitation is 100%. Little or no snow accumulation expected. Little or no ice accumulation expected.'}, {'number': 2, 'name': 'Wednesday', 'startTime': '2024-01-17T06:00:00-08:00', 'endTime': '2024-01-17T18:00:00-08:00', 'isDaytime': True, 'temperature': 40, 'temperatureUnit': 'F', 'temperatureTrend': 'falling', 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 99}, 'windSpeed': '3 to 7 mph', 'windDirection': 'S', 'icon': 'https://api.weather.gov/icons/land/day/rain,100?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy. High near 40, with temperatures falling to around 38 in the afternoon. South wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible.'}, {'number': 3, 'name': 'Wednesday Night', 'startTime': '2024-01-17T18:00:00-08:00', 'endTime': '2024-01-18T06:00:00-08:00', 'isDaytime': False, 'temperature': 33, 'temperatureUnit': 'F', 'temperatureTrend': 'rising', 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 80}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 2.2222222222222223}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '7 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/night/snow,80/snow,40?size=medium', 'shortForecast': 'Chance Rain And Snow', 'detailedForecast': 'Rain before 10pm, then a chance of rain and snow. Mostly cloudy. Low around 33, with temperatures rising to around 35 overnight. Southeast wind around 7 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible.'}, {'number': 4, 'name': 'Thursday', 'startTime': '2024-01-18T06:00:00-08:00', 'endTime': '2024-01-18T18:00:00-08:00', 'isDaytime': True, 'temperature': 38, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '5 to 9 mph', 'windDirection': 'ENE', 'icon': 'https://api.weather.gov/icons/land/day/snow,80/snow,100?size=medium', 'shortForecast': 'Rain And Snow', 'detailedForecast': 'Rain and snow before 1pm, then rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible.'}, {'number': 5, 'name': 'Thursday Night', 'startTime': '2024-01-18T18:00:00-08:00', 'endTime': '2024-01-19T06:00:00-08:00', 'isDaytime': False, 'temperature': 35, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 88}, 'windSpeed': '9 mph', 'windDirection': 'E', 'icon': 'https://api.weather.gov/icons/land/night/rain,100?size=medium', 'shortForecast': 'Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 35. East wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible.'}, {'number': 6, 'name': 'Friday', 'startTime': '2024-01-19T06:00:00-08:00', 'endTime': '2024-01-19T18:00:00-08:00', 'isDaytime': True, 'temperature': 42, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 88}, 'windSpeed': '8 mph', 'windDirection': 'ENE', 'icon': 'https://api.weather.gov/icons/land/day/rain,90/rain,80?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Mostly cloudy, with a high near 42. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible.'}, {'number': 7, 'name': 'Friday Night', 'startTime': '2024-01-19T18:00:00-08:00', 'endTime': '2024-01-20T06:00:00-08:00', 'isDaytime': False, 'temperature': 38, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 89}, 'windSpeed': '8 mph', 'windDirection': 'ESE', 'icon': 'https://api.weather.gov/icons/land/night/rain,90?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 38. Chance of precipitation is 90%.'}, {'number': 8, 'name': 'Saturday', 'startTime': '2024-01-20T06:00:00-08:00', 'endTime': '2024-01-20T18:00:00-08:00', 'isDaytime': True, 'temperature': 45, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 6.111111111111111}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '8 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a high near 45.'}, {'number': 9, 'name': 'Saturday Night', 'startTime': '2024-01-20T18:00:00-08:00', 'endTime': '2024-01-21T06:00:00-08:00', 'isDaytime': False, 'temperature': 39, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'windSpeed': '9 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/night/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 39.'}, {'number': 10, 'name': 'Sunday', 'startTime': '2024-01-21T06:00:00-08:00', 'endTime': '2024-01-21T18:00:00-08:00', 'isDaytime': True, 'temperature': 46, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 6.111111111111111}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 91}, 'windSpeed': '8 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a high near 46.'}, {'number': 11, 'name': 'Sunday Night', 'startTime': '2024-01-21T18:00:00-08:00', 'endTime': '2024-01-22T06:00:00-08:00', 'isDaytime': False, 'temperature': 41, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 89}, 'windSpeed': '8 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/night/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 41.'}, {'number': 12, 'name': 'Monday', 'startTime': '2024-01-22T06:00:00-08:00', 'endTime': '2024-01-22T18:00:00-08:00', 'isDaytime': True, 'temperature': 49, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 7.222222222222222}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 93}, 'windSpeed': '9 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Mostly cloudy, with a high near 49.'}, {'number': 13, 'name': 'Monday Night', 'startTime': '2024-01-22T18:00:00-08:00', 'endTime': '2024-01-23T06:00:00-08:00', 'isDaytime': False, 'temperature': 41, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 7.222222222222222}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 91}, 'windSpeed': '9 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/night/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Mostly cloudy, with a low around 41.'}, {'number': 14, 'name': 'Tuesday', 'startTime': '2024-01-23T06:00:00-08:00', 'endTime': '2024-01-23T18:00:00-08:00', 'isDaytime': True, 'temperature': 49, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '8 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain before 5pm. Mostly cloudy, with a high near 49.'}]"
Disability Justice,1/17/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"[{'number': 1, 'name': 'Tonight', 'startTime': '2024-01-16T19:00:00-08:00', 'endTime': '2024-01-17T06:00:00-08:00', 'isDaytime': False, 'temperature': 32, 'temperatureUnit': 'F', 'temperatureTrend': 'rising', 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '2 to 6 mph', 'windDirection': 'ESE', 'icon': 'https://api.weather.gov/icons/land/night/rain_fzra,100/rain_fzra,80?size=medium', 'shortForecast': 'Freezing Rain', 'detailedForecast': 'Rain likely before 8pm, then freezing rain and rain. Cloudy. Low around 32, with temperatures rising to around 36 overnight. East southeast wind 2 to 6 mph. Chance of precipitation is 100%. Little or no snow accumulation expected. Little or no ice accumulation expected.'}, {'number': 2, 'name': 'Wednesday', 'startTime': '2024-01-17T06:00:00-08:00', 'endTime': '2024-01-17T18:00:00-08:00', 'isDaytime': True, 'temperature': 40, 'temperatureUnit': 'F', 'temperatureTrend': 'falling', 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'windSpeed': '3 to 7 mph', 'windDirection': 'S', 'icon': 'https://api.weather.gov/icons/land/day/rain,100/snow,100?size=medium', 'shortForecast': 'Light Rain then Rain And Snow Likely', 'detailedForecast': 'Rain before 1pm, then rain and snow likely between 1pm and 4pm, then rain and snow. Cloudy. High near 40, with temperatures falling to around 38 in the afternoon. South wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible.'}, {'number': 3, 'name': 'Wednesday Night', 'startTime': '2024-01-17T18:00:00-08:00', 'endTime': '2024-01-18T06:00:00-08:00', 'isDaytime': False, 'temperature': 33, 'temperatureUnit': 'F', 'temperatureTrend': 'rising', 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 80}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.6666666666666667}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '7 mph', 'windDirection': 'S', 'icon': 'https://api.weather.gov/icons/land/night/snow,80/snow,40?size=medium', 'shortForecast': 'Rain And Snow', 'detailedForecast': 'Rain and snow. Mostly cloudy. Low around 33, with temperatures rising to around 35 overnight. South wind around 7 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible.'}, {'number': 4, 'name': 'Thursday', 'startTime': '2024-01-18T06:00:00-08:00', 'endTime': '2024-01-18T18:00:00-08:00', 'isDaytime': True, 'temperature': 38, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '5 to 9 mph', 'windDirection': 'ENE', 'icon': 'https://api.weather.gov/icons/land/day/snow,80/snow,100?size=medium', 'shortForecast': 'Rain And Snow', 'detailedForecast': 'Rain and snow before 1pm, then rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible.'}, {'number': 5, 'name': 'Thursday Night', 'startTime': '2024-01-18T18:00:00-08:00', 'endTime': '2024-01-19T06:00:00-08:00', 'isDaytime': False, 'temperature': 35, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 100}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 88}, 'windSpeed': '9 mph', 'windDirection': 'E', 'icon': 'https://api.weather.gov/icons/land/night/rain,100?size=medium', 'shortForecast': 'Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 35. East wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible.'}, {'number': 6, 'name': 'Friday', 'startTime': '2024-01-19T06:00:00-08:00', 'endTime': '2024-01-19T18:00:00-08:00', 'isDaytime': True, 'temperature': 42, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 88}, 'windSpeed': '8 mph', 'windDirection': 'ENE', 'icon': 'https://api.weather.gov/icons/land/day/rain,90/rain,80?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Mostly cloudy, with a high near 42. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible.'}, {'number': 7, 'name': 'Friday Night', 'startTime': '2024-01-19T18:00:00-08:00', 'endTime': '2024-01-20T06:00:00-08:00', 'isDaytime': False, 'temperature': 38, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'windSpeed': '8 mph', 'windDirection': 'ESE', 'icon': 'https://api.weather.gov/icons/land/night/rain,90?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 38. Chance of precipitation is 90%.'}, {'number': 8, 'name': 'Saturday', 'startTime': '2024-01-20T06:00:00-08:00', 'endTime': '2024-01-20T18:00:00-08:00', 'isDaytime': True, 'temperature': 45, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 6.111111111111111}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '8 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a high near 45.'}, {'number': 9, 'name': 'Saturday Night', 'startTime': '2024-01-20T18:00:00-08:00', 'endTime': '2024-01-21T06:00:00-08:00', 'isDaytime': False, 'temperature': 39, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 92}, 'windSpeed': '9 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/night/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 39.'}, {'number': 10, 'name': 'Sunday', 'startTime': '2024-01-21T06:00:00-08:00', 'endTime': '2024-01-21T18:00:00-08:00', 'isDaytime': True, 'temperature': 46, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 6.111111111111111}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 91}, 'windSpeed': '8 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a high near 46.'}, {'number': 11, 'name': 'Sunday Night', 'startTime': '2024-01-21T18:00:00-08:00', 'endTime': '2024-01-22T06:00:00-08:00', 'isDaytime': False, 'temperature': 41, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 90}, 'windSpeed': '8 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/night/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Cloudy, with a low around 41.'}, {'number': 12, 'name': 'Monday', 'startTime': '2024-01-22T06:00:00-08:00', 'endTime': '2024-01-22T18:00:00-08:00', 'isDaytime': True, 'temperature': 49, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 7.222222222222222}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 93}, 'windSpeed': '8 mph', 'windDirection': 'SE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Mostly cloudy, with a high near 49.'}, {'number': 13, 'name': 'Monday Night', 'startTime': '2024-01-22T18:00:00-08:00', 'endTime': '2024-01-23T06:00:00-08:00', 'isDaytime': False, 'temperature': 41, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 7.222222222222222}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 92}, 'windSpeed': '9 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/night/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain. Mostly cloudy, with a low around 41.'}, {'number': 14, 'name': 'Tuesday', 'startTime': '2024-01-23T06:00:00-08:00', 'endTime': '2024-01-23T18:00:00-08:00', 'isDaytime': True, 'temperature': 49, 'temperatureUnit': 'F', 'temperatureTrend': None, 'probabilityOfPrecipitation': {'unitCode': 'wmoUnit:percent', 'value': None}, 'dewpoint': {'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}, 'relativeHumidity': {'unitCode': 'wmoUnit:percent', 'value': 94}, 'windSpeed': '8 mph', 'windDirection': 'SSE', 'icon': 'https://api.weather.gov/icons/land/day/rain?size=medium', 'shortForecast': 'Light Rain', 'detailedForecast': 'Rain before 5pm. Mostly cloudy, with a high near 49.'}]"
